"CellType","MedianEnrichment","EnrichmentLevel","PresenceFraction","PresenceClass","Interpretation"
"CD4+ T-cells",0.0684872574512551,"Low",0.717948717948718,"Frequent","CD4+ T-cells: Low enrichment with frequent presence. Helper T-cells coordinating immune activation and cytokine secretion."
"Hepatocytes",0.0191776065982607,"Low",0.666666666666667,"Frequent","Hepatocytes: Low enrichment with frequent presence. Liver parenchymal cells central to metabolism, detoxification, and protein synthesis."
"Adipocytes",0.0557928417266725,"Low",0.641025641025641,"Frequent","Adipocytes: Low enrichment with frequent presence. Fat-storing cells that secrete adipokines and influence inflammation and metabolism."
"CD8+ Tem",0.0408343430345032,"Low",0.641025641025641,"Frequent","CD8+ Tem: Low enrichment with frequent presence. Effector memory CD8+ T-cells; provide rapid response at tissue sites."
"DC",0.025121165135623,"Low",0.641025641025641,"Frequent","DC: Low enrichment with frequent presence. General dendritic cell population mediating antigen presentation and T-cell activation."
"CD4+ Tcm",0.0915477772367271,"Low",0.615384615384615,"Frequent","CD4+ Tcm: Low enrichment with frequent presence. Central memory CD4+ T-cells; reside in lymphoid tissue and provide long-term immunity."
"Memory B-cells",2.56345910921804e-17,"Low",0.58974358974359,"Frequent","Memory B-cells: Low enrichment with frequent presence. Long-lived B-cells ensuring rapid antibody production upon re-challenge."
"Neutrophils",0.0541010735464545,"Low",0.58974358974359,"Frequent","Neutrophils: Low enrichment with frequent presence. First-responder phagocytes mediating acute inflammation and pathogen clearance."
"Smooth muscle",0.0801409673635292,"Low",0.58974358974359,"Frequent","Smooth muscle: Low enrichment with frequent presence. Involuntary contractile cells in vessels and viscera."
"Endothelial cells",0.0651764348034158,"Low",0.538461538461538,"Frequent","Endothelial cells: Low enrichment with frequent presence. Vascular lining cells regulating permeability, angiogenesis, and leukocyte trafficking."
"B-cells",0.00484138682205283,"Low",0.512820512820513,"Frequent","B-cells: Low enrichment with frequent presence. Adaptive immune cells producing antibodies; key in humoral immune response."
"HSC",0.0624843703180823,"Low",0.512820512820513,"Frequent","HSC: Low enrichment with frequent presence. Hematopoietic stem cells; multipotent progenitors of all blood lineages."
"Myocytes",0.0486130866916611,"Low",0.512820512820513,"Frequent","Myocytes: Low enrichment with frequent presence. Muscle cells responsible for contractile function in skeletal or cardiac tissue."
"pDC",0.0194724763699376,"Low",0.512820512820513,"Frequent","pDC: Low enrichment with frequent presence. Plasmacytoid dendritic cells; major producers of type I interferons in viral defense."
"Preadipocytes",0.0413642611632529,"Low",0.512820512820513,"Frequent","Preadipocytes: Low enrichment with frequent presence. Precursors of adipocytes; can signal inflammation during adipose expansion."
"Mast cells",0.00752169266056605,"Low",0.487179487179487,"Frequent","Mast cells: Low enrichment with frequent presence. Granule-rich cells mediating allergic responses and vascular permeability."
"CD4+ Tem",0.0451434072883308,"Low",0.461538461538462,"Frequent","CD4+ Tem: Low enrichment with frequent presence. Effector memory CD4+ T-cells; circulate in peripheral tissues and respond quickly to antigens."
"Chondrocytes",1.18582291598415e-17,"Low",0.384615384615385,"Frequent","Chondrocytes: Low enrichment with frequent presence. Cartilage-producing cells involved in extracellular matrix and joint maintenance."
"CMP",1.56823426150262e-17,"Low",0.358974358974359,"Frequent","CMP: Low enrichment with frequent presence. Common myeloid progenitors; precursors for granulocytes, erythrocytes, and macrophages."
"Platelets",0.0314343484836433,"Low",0.333333333333333,"Occasional/rare","Platelets: Low enrichment with limited presence. Anucleate blood fragments mediating hemostasis and releasing growth factors."
"Macrophages M1",8.15462847623807e-18,"Low",0.282051282051282,"Occasional/rare","Macrophages M1: Low enrichment with limited presence. Classically activated macrophages; pro-inflammatory, anti-tumor phenotype."
"Plasma cells",4.23448099589794e-18,"Low",0.282051282051282,"Occasional/rare","Plasma cells: Low enrichment with limited presence. Terminally differentiated B-cells secreting antibodies."
"cDC",2.63958218857384e-17,"Low",0.256410256410256,"Occasional/rare","cDC: Low enrichment with limited presence. Conventional dendritic cells; professional antigen-presenting cells activating T-cells."
"CD8+ Tcm",2.35002494250159e-18,"Low",0.230769230769231,"Occasional/rare","CD8+ Tcm: Low enrichment with limited presence. Central memory CD8+ T-cells; maintain long-term cytotoxic memory."
"GMP",6.1509851807671e-18,"Low",0.230769230769231,"Occasional/rare","GMP: Low enrichment with limited presence. Granulocyte-monocyte progenitors; intermediates for myeloid differentiation."
"Th2 cells",0.0163742696819025,"Low",0.230769230769231,"Occasional/rare","Th2 cells: Low enrichment with limited presence. CD4+ helper subset producing IL-4/IL-5/IL-13; promotes humoral and allergic responses."
"CD4+ naive T-cells",5.03315712128463e-18,"Low",0.205128205128205,"Occasional/rare","CD4+ naive T-cells: Low enrichment with limited presence. Unactivated helper T-cells; precursors that differentiate into effector subsets."
"NK cells",4.91329330387839e-18,"Low",0.153846153846154,"Occasional/rare","NK cells: Low enrichment with limited presence. Natural killer cells; innate cytotoxic effectors against tumors and virally infected cells."
"Erythrocytes",0,"Low",0.128205128205128,"Occasional/rare","Erythrocytes: Low enrichment with limited presence. Red blood cells transporting oxygen; presence indicates blood contamination in samples."
"Fibroblasts",8.51495004339371e-18,"Low",0.0769230769230769,"Occasional/rare","Fibroblasts: Low enrichment with limited presence. Stromal cells synthesizing collagen and remodeling extracellular matrix."
"Monocytes",1.30203210394405e-19,"Low",0.0769230769230769,"Occasional/rare","Monocytes: Low enrichment with limited presence. Circulating precursors of macrophages and dendritic cells."
"MEP",0,"Low",0.0256410256410256,"Occasional/rare","MEP: Low enrichment with limited presence. Megakaryocyte-erythroid progenitors; precursors of platelets and red cells."
"naive B-cells",4.88558752265653e-20,"Low",0.0256410256410256,"Occasional/rare","naive B-cells: Low enrichment with limited presence. Unactivated B lymphocytes awaiting antigen encounter."
"aDC",0.0300204204200118,"Low",0,"Occasional/rare","aDC: Low enrichment with limited presence. Activated dendritic cells; antigen-presenting cells that drive T-cell priming and cytokine release."
"Astrocytes",8.87465831098819e-18,"Low",0,"Occasional/rare","Astrocytes: Low enrichment with limited presence. Glial cells maintaining neural homeostasis and contributing to neuroinflammatory signaling."
